	Time Point	Treatment	Nutrient	Concentration Î¼M
0	0	CTCN	$NO_2^-$	0.21
1	0	CTCN	$NO_2^-$	0.39
2	0	CTCN	$NO_2^-$	0.03
3	0	CTN	$NO_2^-$	0.16
4	0	CTN	$NO_2^-$	0.28
5	0	CTN	$NO_2^-$	0.04000000000000001
6	0	TCN	$NO_2^-$	0.13
7	0	TCN	$NO_2^-$	0.2
8	0	TCN	$NO_2^-$	0.06
9	0	TN	$NO_2^-$	0.18
10	0	TN	$NO_2^-$	0.39
11	0	TN	$NO_2^-$	-0.03
12	1	CTCN	$NO_2^-$	0.11
13	1	CTCN	$NO_2^-$	0.19
14	1	CTCN	$NO_2^-$	0.03
15	1	CTN	$NO_2^-$	0.23
16	1	CTN	$NO_2^-$	0.37
17	1	CTN	$NO_2^-$	0.09
18	1	TCN	$NO_2^-$	0.08
19	1	TCN	$NO_2^-$	0.11
20	1	TCN	$NO_2^-$	0.05
21	1	TN	$NO_2^-$	0.12
22	1	TN	$NO_2^-$	0.2
23	1	TN	$NO_2^-$	0.039999999999999994
24	2	CTCN	$NO_2^-$	0.13
25	2	CTCN	$NO_2^-$	0.2
26	2	CTCN	$NO_2^-$	0.06
27	2	CTN	$NO_2^-$	0.3
28	2	CTN	$NO_2^-$	0.49
29	2	CTN	$NO_2^-$	0.10999999999999999
30	2	TCN	$NO_2^-$	0.11
31	2	TCN	$NO_2^-$	0.16999999999999998
32	2	TCN	$NO_2^-$	0.05
33	2	TN	$NO_2^-$	0.26
34	2	TN	$NO_2^-$	0.45
35	2	TN	$NO_2^-$	0.07
36	3	CTCN	$NO_2^-$	0.16
37	3	CTCN	$NO_2^-$	0.16
38	3	CTCN	$NO_2^-$	0.16
39	3	CTN	$NO_2^-$	0.34
40	3	CTN	$NO_2^-$	0.51
41	3	CTN	$NO_2^-$	0.17
42	3	TCN	$NO_2^-$	0.14
43	3	TCN	$NO_2^-$	0.14
44	3	TCN	$NO_2^-$	0.14
45	3	TN	$NO_2^-$	0.63
46	3	TN	$NO_2^-$	1.05
47	3	TN	$NO_2^-$	0.21000000000000002
48	4	CTCN	$NO_2^-$	0.1
49	4	CTCN	$NO_2^-$	0.15000000000000002
50	4	CTCN	$NO_2^-$	0.05
51	4	CTN	$NO_2^-$	0.28
52	4	CTN	$NO_2^-$	0.45000000000000007
53	4	CTN	$NO_2^-$	0.11000000000000001
54	4	TCN	$NO_2^-$	0.14
55	4	TCN	$NO_2^-$	0.23
56	4	TCN	$NO_2^-$	0.05000000000000002
57	4	TN	$NO_2^-$	0.2
58	4	TN	$NO_2^-$	0.41000000000000003
59	4	TN	$NO_2^-$	-0.009999999999999981
60	5	CTCN	$NO_2^-$	0.12
61	5	CTCN	$NO_2^-$	0.18
62	5	CTCN	$NO_2^-$	0.06
63	5	CTN	$NO_2^-$	0.28
64	5	CTN	$NO_2^-$	0.49
65	5	CTN	$NO_2^-$	0.07000000000000003
66	5	TCN	$NO_2^-$	0.13
67	5	TCN	$NO_2^-$	0.2
68	5	TCN	$NO_2^-$	0.06
69	5	TN	$NO_2^-$	0.25
70	5	TN	$NO_2^-$	0.39
71	5	TN	$NO_2^-$	0.10999999999999999
72	6	CTCN	$NO_2^-$	0.09
73	6	CTCN	$NO_2^-$	0.12
74	6	CTCN	$NO_2^-$	0.06
75	6	CTN	$NO_2^-$	0.22
76	6	CTN	$NO_2^-$	0.4
77	6	CTN	$NO_2^-$	0.04000000000000001
78	6	TCN	$NO_2^-$	0.16
79	6	TCN	$NO_2^-$	0.26
80	6	TCN	$NO_2^-$	0.06
81	6	TN	$NO_2^-$	0.16
82	6	TN	$NO_2^-$	0.26
83	6	TN	$NO_2^-$	0.06
84	7	CTCN	$NO_2^-$	0.13
85	7	CTCN	$NO_2^-$	0.19
86	7	CTCN	$NO_2^-$	0.07
87	7	CTN	$NO_2^-$	0.27
88	7	CTN	$NO_2^-$	0.56
89	7	CTN	$NO_2^-$	-0.019999999999999962
90	7	TCN	$NO_2^-$	0.13
91	7	TCN	$NO_2^-$	0.17
92	7	TCN	$NO_2^-$	0.09
93	7	TN	$NO_2^-$	0.11
94	7	TN	$NO_2^-$	0.15
95	7	TN	$NO_2^-$	0.07
96	8	CTCN	$NO_2^-$	0.13
97	8	CTCN	$NO_2^-$	0.14
98	8	CTCN	$NO_2^-$	0.12000000000000001
99	8	CTN	$NO_2^-$	0.32
100	8	CTN	$NO_2^-$	0.52
101	8	CTN	$NO_2^-$	0.12
102	8	TCN	$NO_2^-$	0.14
103	8	TCN	$NO_2^-$	0.15000000000000002
104	8	TCN	$NO_2^-$	0.13
105	8	TN	$NO_2^-$	0.13
106	8	TN	$NO_2^-$	0.15
107	8	TN	$NO_2^-$	0.11
108	0	CTCN	$NO_3^-$	0.7
109	0	CTCN	$NO_3^-$	0.76
110	0	CTCN	$NO_3^-$	0.6399999999999999
111	0	CTN	$NO_3^-$	0.19
112	0	CTN	$NO_3^-$	0.194
113	0	CTN	$NO_3^-$	0.186
114	0	TCN	$NO_3^-$	0.64
115	0	TCN	$NO_3^-$	1.1600000000000001
116	0	TCN	$NO_3^-$	0.12
117	0	TN	$NO_3^-$	0.43
118	0	TN	$NO_3^-$	0.5700000000000001
119	0	TN	$NO_3^-$	0.29
120	1	CTCN	$NO_3^-$	0.523008389638266
121	1	CTCN	$NO_3^-$	1.0391050766714152
122	1	CTCN	$NO_3^-$	0.006911702605116976
123	1	CTN	$NO_3^-$	1.0967476492424
124	1	CTN	$NO_3^-$	1.197284618171939
125	1	CTN	$NO_3^-$	0.996210680312861
126	1	TCN	$NO_3^-$	0.593153341198549
127	1	TCN	$NO_3^-$	0.627955383343426
128	1	TCN	$NO_3^-$	0.558351299053672
129	1	TN	$NO_3^-$	1.17957047742646
130	1	TN	$NO_3^-$	1.381913334447038
131	1	TN	$NO_3^-$	0.977227620405882
132	2	CTCN	$NO_3^-$	0.377351785901252
133	2	CTCN	$NO_3^-$	0.546014318031355
134	2	CTCN	$NO_3^-$	0.20868925377114902
135	2	CTN	$NO_3^-$	1.53863049168845
136	2	CTN	$NO_3^-$	1.660910669895968
137	2	CTN	$NO_3^-$	1.4163503134809319
138	2	TCN	$NO_3^-$	0.36708482010387206
139	2	TCN	$NO_3^-$	0.3884026069780321
140	2	TCN	$NO_3^-$	0.34576703322971203
141	2	TN	$NO_3^-$	1.4303402301436001
142	2	TN	$NO_3^-$	1.7191907418678611
143	2	TN	$NO_3^-$	1.141489718419339
144	3	CTCN	$NO_3^-$	0.757757323667271
145	3	CTCN	$NO_3^-$	1.060682531429004
146	3	CTCN	$NO_3^-$	0.45483211590553796
147	3	CTN	$NO_3^-$	1.46814464452671
148	3	CTN	$NO_3^-$	1.9703965140890878
149	3	CTN	$NO_3^-$	0.9658927749643319
150	3	TCN	$NO_3^-$	0.7938891540440629
151	3	TCN	$NO_3^-$	1.0012149715943748
152	3	TCN	$NO_3^-$	0.5865633364937509
153	3	TN	$NO_3^-$	1.3275244177668601
154	3	TN	$NO_3^-$	1.7797464312816011
155	3	TN	$NO_3^-$	0.8753024042521191
156	4	CTCN	$NO_3^-$	0.522922590631581
157	4	CTCN	$NO_3^-$	0.731393782129762
158	4	CTCN	$NO_3^-$	0.3144513991333999
159	4	CTN	$NO_3^-$	0.9822295016092829
160	4	CTN	$NO_3^-$	1.063549980284462
161	4	CTN	$NO_3^-$	0.9009090229341039
162	4	TCN	$NO_3^-$	0.4661275637839051
163	4	TCN	$NO_3^-$	1.0773098526108131
164	4	TCN	$NO_3^-$	-0.14505472504300287
165	4	TN	$NO_3^-$	1.19292565293129
166	4	TN	$NO_3^-$	1.3896514586734239
167	4	TN	$NO_3^-$	0.996199847189156
168	5	CTCN	$NO_3^-$	0.522314330750731
169	5	CTCN	$NO_3^-$	0.610134217209378
170	5	CTCN	$NO_3^-$	0.43449444429208395
171	5	CTN	$NO_3^-$	0.9528085904260309
172	5	CTN	$NO_3^-$	0.980516015768398
173	5	CTN	$NO_3^-$	0.9251011650836639
174	5	TCN	$NO_3^-$	1.0344231869538598
175	5	TCN	$NO_3^-$	1.0484758858592738
176	5	TCN	$NO_3^-$	1.0203704880484459
177	5	TN	$NO_3^-$	2.49756660916717
178	5	TN	$NO_3^-$	2.629052807813935
179	5	TN	$NO_3^-$	2.366080410520405
180	6	CTCN	$NO_3^-$	1.10477290065828
181	6	CTCN	$NO_3^-$	1.355715356646131
182	6	CTCN	$NO_3^-$	0.853830444670429
183	6	CTN	$NO_3^-$	2.08763993086604
184	6	CTN	$NO_3^-$	2.455839249047505
185	6	CTN	$NO_3^-$	1.719440612684575
186	6	TCN	$NO_3^-$	1.02189722949438
187	6	TCN	$NO_3^-$	1.078231676124468
188	6	TCN	$NO_3^-$	0.965562782864292
189	6	TN	$NO_3^-$	1.67577644766075
190	6	TN	$NO_3^-$	2.5183133552428307
191	6	TN	$NO_3^-$	0.833239540078669
192	7	CTCN	$NO_3^-$	0.8235381593478829
193	7	CTCN	$NO_3^-$	1.031413061589962
194	7	CTCN	$NO_3^-$	0.6156632571058039
195	7	CTN	$NO_3^-$	1.84898489978896
196	7	CTN	$NO_3^-$	1.984901759903086
197	7	CTN	$NO_3^-$	1.713068039674834
198	7	TCN	$NO_3^-$	1.17108521885202
199	7	TCN	$NO_3^-$	1.194501847312251
200	7	TCN	$NO_3^-$	1.147668590391789
201	7	TN	$NO_3^-$	1.94282130051487
202	7	TN	$NO_3^-$	2.555637742801053
203	7	TN	$NO_3^-$	1.330004858228687
204	8	CTCN	$NO_3^-$	0.39222328481366503
205	8	CTCN	$NO_3^-$	0.48066392421910603
206	8	CTCN	$NO_3^-$	0.30378264540822403
207	8	CTN	$NO_3^-$	1.15429134236217
208	8	CTN	$NO_3^-$	1.3191540109558628
209	8	CTN	$NO_3^-$	0.989428673768477
210	8	TCN	$NO_3^-$	0.20710769273546498
211	8	TCN	$NO_3^-$	0.293375276520641
212	8	TCN	$NO_3^-$	0.12084010895028897
213	8	TN	$NO_3^-$	0.44739429141704107
214	8	TN	$NO_3^-$	0.5168386045961001
215	8	TN	$NO_3^-$	0.37794997823798204
216	0	CTCN	$NH_4^+$	1.36
217	0	CTCN	$NH_4^+$	2.34
218	0	CTCN	$NH_4^+$	0.3800000000000001
219	0	CTN	$NH_4^+$	1.08
220	0	CTN	$NH_4^+$	1.81
221	0	CTN	$NH_4^+$	0.3500000000000001
222	0	TCN	$NH_4^+$	0.93
223	0	TCN	$NH_4^+$	1.71
224	0	TCN	$NH_4^+$	0.15000000000000002
225	0	TN	$NH_4^+$	1.62
226	0	TN	$NH_4^+$	3.12
227	0	TN	$NH_4^+$	0.1200000000000001
228	1	CTCN	$NH_4^+$	0.73
229	1	CTCN	$NH_4^+$	1.0899999999999999
230	1	CTCN	$NH_4^+$	0.37
231	1	CTN	$NH_4^+$	0.78
232	1	CTN	$NH_4^+$	1.65
233	1	CTN	$NH_4^+$	-0.08999999999999997
234	1	TCN	$NH_4^+$	1.08
235	1	TCN	$NH_4^+$	1.51
236	1	TCN	$NH_4^+$	0.6500000000000001
237	1	TN	$NH_4^+$	0.9
238	1	TN	$NH_4^+$	1.56
239	1	TN	$NH_4^+$	0.24
240	2	CTCN	$NH_4^+$	1.11
241	2	CTCN	$NH_4^+$	1.61
242	2	CTCN	$NH_4^+$	0.6100000000000001
243	2	CTN	$NH_4^+$	2.39
244	2	CTN	$NH_4^+$	4.52
245	2	CTN	$NH_4^+$	0.26000000000000023
246	2	TCN	$NH_4^+$	1.02
247	2	TCN	$NH_4^+$	1.7000000000000002
248	2	TCN	$NH_4^+$	0.33999999999999997
249	2	TN	$NH_4^+$	2.27
250	2	TN	$NH_4^+$	4.32
251	2	TN	$NH_4^+$	0.2200000000000002
252	3	CTCN	$NH_4^+$	1.01
253	3	CTCN	$NH_4^+$	1.21
254	3	CTCN	$NH_4^+$	0.81
255	3	CTN	$NH_4^+$	2.99
256	3	CTN	$NH_4^+$	3.75
257	3	CTN	$NH_4^+$	2.2300000000000004
258	3	TCN	$NH_4^+$	1.46
259	3	TCN	$NH_4^+$	1.97
260	3	TCN	$NH_4^+$	0.95
261	3	TN	$NH_4^+$	1.85
262	3	TN	$NH_4^+$	2.84
263	3	TN	$NH_4^+$	0.8600000000000001
264	4	CTCN	$NH_4^+$	0.91
265	4	CTCN	$NH_4^+$	1.33
266	4	CTCN	$NH_4^+$	0.49000000000000005
267	4	CTN	$NH_4^+$	1.43
268	4	CTN	$NH_4^+$	2.2
269	4	CTN	$NH_4^+$	0.6599999999999999
270	4	TCN	$NH_4^+$	0.73
271	4	TCN	$NH_4^+$	0.98
272	4	TCN	$NH_4^+$	0.48
273	4	TN	$NH_4^+$	1.03
274	4	TN	$NH_4^+$	1.54
275	4	TN	$NH_4^+$	0.52
276	5	CTCN	$NH_4^+$	1.41
277	5	CTCN	$NH_4^+$	2.32
278	5	CTCN	$NH_4^+$	0.4999999999999999
279	5	CTN	$NH_4^+$	1.38
280	5	CTN	$NH_4^+$	2.28
281	5	CTN	$NH_4^+$	0.47999999999999987
282	5	TCN	$NH_4^+$	1.04
283	5	TCN	$NH_4^+$	1.65
284	5	TCN	$NH_4^+$	0.43000000000000005
285	5	TN	$NH_4^+$	1.99
286	5	TN	$NH_4^+$	2.62
287	5	TN	$NH_4^+$	1.3599999999999999
288	6	CTCN	$NH_4^+$	2.27
289	6	CTCN	$NH_4^+$	3.42
290	6	CTCN	$NH_4^+$	1.12
291	6	CTN	$NH_4^+$	1.98
292	6	CTN	$NH_4^+$	3.54
293	6	CTN	$NH_4^+$	0.41999999999999993
294	6	TCN	$NH_4^+$	2.06
295	6	TCN	$NH_4^+$	2.79
296	6	TCN	$NH_4^+$	1.33
297	6	TN	$NH_4^+$	5.21
298	6	TN	$NH_4^+$	6.16
299	6	TN	$NH_4^+$	4.26
300	7	CTCN	$NH_4^+$	5.21
301	7	CTCN	$NH_4^+$	7.859999999999999
302	7	CTCN	$NH_4^+$	2.56
303	7	CTN	$NH_4^+$	6.04
304	7	CTN	$NH_4^+$	8.39
305	7	CTN	$NH_4^+$	3.69
306	7	TCN	$NH_4^+$	5.16
307	7	TCN	$NH_4^+$	8.19
308	7	TCN	$NH_4^+$	2.1300000000000003
309	7	TN	$NH_4^+$	7.01
310	7	TN	$NH_4^+$	9.32
311	7	TN	$NH_4^+$	4.699999999999999
312	8	CTCN	$NH_4^+$	3.21
313	8	CTCN	$NH_4^+$	3.83
314	8	CTCN	$NH_4^+$	2.59
315	8	CTN	$NH_4^+$	4.4
316	8	CTN	$NH_4^+$	4.8100000000000005
317	8	CTN	$NH_4^+$	3.99
318	8	TCN	$NH_4^+$	3.71
319	8	TCN	$NH_4^+$	5.29
320	8	TCN	$NH_4^+$	2.13
321	8	TN	$NH_4^+$	3.75
322	8	TN	$NH_4^+$	4.62
323	8	TN	$NH_4^+$	2.88
324	0	CTCN	$PO_4^{3-}$	0.17
325	0	CTCN	$PO_4^{3-}$	0.19
326	0	CTCN	$PO_4^{3-}$	0.15000000000000002
327	0	CTN	$PO_4^{3-}$	0.16
328	0	CTN	$PO_4^{3-}$	0.2
329	0	CTN	$PO_4^{3-}$	0.12
330	0	TCN	$PO_4^{3-}$	0.17
331	0	TCN	$PO_4^{3-}$	0.27
332	0	TCN	$PO_4^{3-}$	0.07
333	0	TN	$PO_4^{3-}$	0.16
334	0	TN	$PO_4^{3-}$	0.24
335	0	TN	$PO_4^{3-}$	0.08
336	1	CTCN	$PO_4^{3-}$	0.11
337	1	CTCN	$PO_4^{3-}$	0.16999999999999998
338	1	CTCN	$PO_4^{3-}$	0.05
339	1	CTN	$PO_4^{3-}$	0.09
340	1	CTN	$PO_4^{3-}$	0.16999999999999998
341	1	CTN	$PO_4^{3-}$	0.009999999999999995
342	1	TCN	$PO_4^{3-}$	0.23
343	1	TCN	$PO_4^{3-}$	0.29000000000000004
344	1	TCN	$PO_4^{3-}$	0.17
345	1	TN	$PO_4^{3-}$	0.2
346	1	TN	$PO_4^{3-}$	0.28
347	1	TN	$PO_4^{3-}$	0.12000000000000001
348	2	CTCN	$PO_4^{3-}$	0.15
349	2	CTCN	$PO_4^{3-}$	0.27
350	2	CTCN	$PO_4^{3-}$	0.03
351	2	CTN	$PO_4^{3-}$	0.28
352	2	CTN	$PO_4^{3-}$	0.45000000000000007
353	2	CTN	$PO_4^{3-}$	0.11000000000000001
354	2	TCN	$PO_4^{3-}$	0.07
355	2	TCN	$PO_4^{3-}$	0.1
356	2	TCN	$PO_4^{3-}$	0.04000000000000001
357	2	TN	$PO_4^{3-}$	0.27
358	2	TN	$PO_4^{3-}$	0.43000000000000005
359	2	TN	$PO_4^{3-}$	0.11000000000000001
360	3	CTCN	$PO_4^{3-}$	0.07
361	3	CTCN	$PO_4^{3-}$	0.13
362	3	CTCN	$PO_4^{3-}$	0.010000000000000009
363	3	CTN	$PO_4^{3-}$	0.15
364	3	CTN	$PO_4^{3-}$	0.16
365	3	CTN	$PO_4^{3-}$	0.13999999999999999
366	3	TCN	$PO_4^{3-}$	0.07
367	3	TCN	$PO_4^{3-}$	0.13
368	3	TCN	$PO_4^{3-}$	0.010000000000000009
369	3	TN	$PO_4^{3-}$	0.21
370	3	TN	$PO_4^{3-}$	0.22
371	3	TN	$PO_4^{3-}$	0.19999999999999998
372	4	CTCN	$PO_4^{3-}$	0.08
373	4	CTCN	$PO_4^{3-}$	0.13
374	4	CTCN	$PO_4^{3-}$	0.03
375	4	CTN	$PO_4^{3-}$	0.11
376	4	CTN	$PO_4^{3-}$	0.2
377	4	CTN	$PO_4^{3-}$	0.020000000000000004
378	4	TCN	$PO_4^{3-}$	0.05
379	4	TCN	$PO_4^{3-}$	0.1
380	4	TCN	$PO_4^{3-}$	0.0
381	4	TN	$PO_4^{3-}$	0.13
382	4	TN	$PO_4^{3-}$	0.23
383	4	TN	$PO_4^{3-}$	0.03
384	5	CTCN	$PO_4^{3-}$	0.05
385	5	CTCN	$PO_4^{3-}$	0.1
386	5	CTCN	$PO_4^{3-}$	0.0
387	5	CTN	$PO_4^{3-}$	0.26
388	5	CTN	$PO_4^{3-}$	0.48
389	5	CTN	$PO_4^{3-}$	0.04000000000000001
390	5	TCN	$PO_4^{3-}$	0.15
391	5	TCN	$PO_4^{3-}$	0.27
392	5	TCN	$PO_4^{3-}$	0.03
393	5	TN	$PO_4^{3-}$	0.31
394	5	TN	$PO_4^{3-}$	0.56
395	5	TN	$PO_4^{3-}$	0.06
396	6	CTCN	$PO_4^{3-}$	0.12
397	6	CTCN	$PO_4^{3-}$	0.22
398	6	CTCN	$PO_4^{3-}$	0.01999999999999999
399	6	CTN	$PO_4^{3-}$	0.14
400	6	CTN	$PO_4^{3-}$	0.24000000000000002
401	6	CTN	$PO_4^{3-}$	0.04000000000000001
402	6	TCN	$PO_4^{3-}$	0.07
403	6	TCN	$PO_4^{3-}$	0.12000000000000001
404	6	TCN	$PO_4^{3-}$	0.020000000000000004
405	6	TN	$PO_4^{3-}$	0.13
406	6	TN	$PO_4^{3-}$	0.21000000000000002
407	6	TN	$PO_4^{3-}$	0.05
408	7	CTCN	$PO_4^{3-}$	0.21
409	7	CTCN	$PO_4^{3-}$	0.43
410	7	CTCN	$PO_4^{3-}$	-0.010000000000000009
411	7	CTN	$PO_4^{3-}$	0.24
412	7	CTN	$PO_4^{3-}$	0.51
413	7	CTN	$PO_4^{3-}$	-0.030000000000000027
414	7	TCN	$PO_4^{3-}$	0.25
415	7	TCN	$PO_4^{3-}$	0.48
416	7	TCN	$PO_4^{3-}$	0.01999999999999999
417	7	TN	$PO_4^{3-}$	0.25
418	7	TN	$PO_4^{3-}$	0.52
419	7	TN	$PO_4^{3-}$	-0.020000000000000018
420	8	CTCN	$PO_4^{3-}$	0.55
421	8	CTCN	$PO_4^{3-}$	0.6000000000000001
422	8	CTCN	$PO_4^{3-}$	0.5
423	8	CTN	$PO_4^{3-}$	0.6
424	8	CTN	$PO_4^{3-}$	0.63
425	8	CTN	$PO_4^{3-}$	0.57
426	8	TCN	$PO_4^{3-}$	0.51
427	8	TCN	$PO_4^{3-}$	0.61
428	8	TCN	$PO_4^{3-}$	0.41000000000000003
429	8	TN	$PO_4^{3-}$	0.58
430	8	TN	$PO_4^{3-}$	0.6399999999999999
431	8	TN	$PO_4^{3-}$	0.52
